t,min_range,blocked,lidar_range,camera_range,agree,cmd_in_vx,cmd_in_vy,cmd_in_wz,cmd_out_vx,cmd_out_vy,cmd_out_wz,odom_x,odom_y
0.21,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.41,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.61,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.81,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.21,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.41,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.61,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.81,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.01,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.21,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.41,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.61,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.81,0.199,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.01,0.191,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.21,0.106,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.022,-0.015
3.41,0.108,0,0.798,0.519,0,0.000,0.000,0.000,0.000,0.000,0.000,0.010,-0.010
3.61,0.106,0,0.798,0.519,0,0.000,0.000,0.000,0.000,0.000,0.000,0.017,-0.027
3.81,0.251,0,0.798,0.519,0,0.000,0.000,0.000,0.000,0.000,0.000,0.012,-0.028
4.01,0.106,0,0.806,0.519,0,0.000,0.000,0.000,0.000,0.000,0.000,0.012,-0.010
4.21,0.108,0,0.806,0.519,0,0.000,0.000,0.000,0.000,0.000,0.000,0.003,-0.003
4.41,0.105,0,0.859,0.519,0,0.000,0.000,0.000,0.000,0.000,0.000,0.016,-0.016
4.61,0.106,0,0.859,0.519,0,0.000,0.000,0.000,0.000,0.000,0.000,0.003,-0.012
4.81,0.473,0,0.859,0.519,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.005,-0.009
5.01,0.105,0,0.875,0.520,0,0.000,0.000,0.000,0.000,0.000,0.000,0.005,-0.006
5.21,0.368,0,0.875,0.520,0,0.000,0.000,0.000,0.000,0.000,0.000,0.004,-0.003
5.41,0.106,0,0.853,0.519,0,0.000,0.000,0.000,0.000,0.000,0.000,0.003,-0.014
5.61,0.105,0,0.853,0.519,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,-0.016
5.81,0.486,0,0.853,0.519,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.005,-0.008
6.01,0.105,0,0.831,0.519,0,0.000,0.000,0.000,0.000,0.000,0.000,0.001,-0.001
6.21,0.108,0,0.831,0.519,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,0.001
6.41,0.106,0,0.823,0.519,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.002
6.61,0.105,0,0.823,0.519,0,0.000,0.000,0.000,0.000,0.000,0.000,0.002,-0.000
6.81,0.486,0,0.823,0.519,0,0.000,0.000,0.000,0.000,0.000,0.000,0.003,-0.006
7.01,0.387,0,0.822,0.519,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.010
7.21,0.106,0,0.822,0.519,0,0.000,0.000,0.000,0.000,0.000,0.000,0.005,-0.011
7.41,0.387,0,0.815,0.519,0,0.000,0.000,0.000,0.000,0.000,0.000,0.004,-0.009
7.61,0.106,0,0.815,0.519,0,0.000,0.000,0.000,0.000,0.000,0.000,0.004,-0.015
7.81,0.108,0,0.815,0.519,0,0.000,0.000,0.000,0.000,0.000,0.000,0.002,-0.005
8.01,0.387,0,0.813,0.519,0,0.000,0.000,0.000,0.000,0.000,0.000,0.030,-0.005
8.21,0.479,0,0.813,0.519,0,0.000,0.000,0.000,0.000,0.000,0.000,0.026,0.014
8.41,0.105,0,0.391,0.546,1,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.011
8.61,0.108,0,0.391,0.546,1,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.010
