t,min_range,blocked,lidar_range,camera_range,agree,cmd_in_vx,cmd_in_vy,cmd_in_wz,cmd_out_vx,cmd_out_vy,cmd_out_wz,odom_x,odom_y
0.21,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.41,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.61,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.81,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.21,nan,0,0.485,0.598,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.41,nan,0,0.485,0.598,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.61,nan,0,0.485,0.598,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.81,nan,0,0.485,0.598,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.01,nan,0,0.485,0.598,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.21,nan,0,0.486,0.597,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.41,nan,0,0.486,0.597,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.61,0.397,0,0.486,0.597,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.81,0.381,0,0.485,0.599,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.01,0.387,0,0.485,0.599,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.016,-0.007
3.21,0.389,0,0.485,0.598,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.003
3.41,0.380,0,0.485,0.598,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,-0.000
3.61,0.405,0,0.485,0.598,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.005,-0.009
3.81,0.384,0,0.485,0.598,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.006,-0.004
4.01,0.387,0,0.485,0.598,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,-0.006
4.21,0.381,0,0.486,0.598,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,-0.004
4.41,0.383,0,0.486,0.598,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,-0.003
4.61,0.391,0,0.486,0.598,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.003
4.81,0.405,0,0.486,0.597,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.005
5.01,0.394,0,0.486,0.597,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.005,-0.005
5.21,0.395,0,0.486,0.598,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,-0.003
5.41,0.388,0,0.486,0.598,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.002
5.61,0.383,0,0.486,0.598,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,-0.005
5.81,0.405,0,0.485,0.598,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.005
6.01,0.405,0,0.485,0.598,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.002
6.21,0.387,0,0.485,0.598,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.004
6.41,0.391,0,0.485,0.598,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,-0.005
6.61,0.386,0,0.485,0.598,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.005,-0.004
6.81,0.386,0,0.486,0.597,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.003
7.01,0.384,0,0.486,0.597,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.001
7.21,0.386,0,0.485,0.598,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,-0.004
7.41,0.389,0,0.485,0.598,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.005,-0.007
7.61,0.386,0,0.485,0.598,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,-0.007
7.81,0.388,0,0.485,0.598,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.005
8.01,0.384,0,0.485,0.598,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,-0.004
8.21,0.386,0,0.485,0.597,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.004
8.41,0.387,0,0.485,0.597,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.003
