t,min_range,blocked,lidar_range,camera_range,agree,cmd_in_vx,cmd_in_vy,cmd_in_wz,cmd_out_vx,cmd_out_vy,cmd_out_wz,odom_x,odom_y
0.23,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.43,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.63,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.83,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.03,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.23,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.43,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.63,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.83,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03,0.105,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.23,0.105,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.006,-0.004
2.43,0.379,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.002,-0.001
2.63,0.378,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.002,-0.001
2.83,0.107,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.005,-0.000
3.03,0.106,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.004,-0.001
3.23,0.106,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.006,-0.005
3.43,0.382,0,0.392,0.421,1,0.000,0.000,0.000,0.000,0.000,0.000,0.006,-0.005
3.63,0.382,0,0.392,0.421,1,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000
3.83,0.380,0,0.392,0.421,1,0.000,0.000,0.000,0.000,0.000,0.000,0.004,-0.001
