t,min_range,blocked,lidar_range,camera_range,agree,cmd_in_vx,cmd_in_vy,cmd_in_wz,cmd_out_vx,cmd_out_vy,cmd_out_wz,odom_x,odom_y
0.23,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.43,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.63,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.83,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.03,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.23,nan,0,nan,0.420,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.43,nan,0,nan,0.420,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.63,nan,0,nan,0.421,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.83,nan,0,nan,0.421,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03,0.105,0,nan,0.421,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.23,0.105,0,0.384,0.421,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.43,0.107,0,0.384,0.421,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.63,0.105,0,0.382,0.421,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.83,0.106,0,0.382,0.421,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.03,0.106,0,0.382,0.421,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.23,0.106,0,0.380,0.421,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,0.001
3.43,0.108,0,0.380,0.421,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,0.001
3.63,0.105,0,0.381,0.421,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000
3.83,0.106,0,0.381,0.421,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.005,-0.000
