t,min_range,blocked,lidar_range,camera_range,agree,cmd_in_vx,cmd_in_vy,cmd_in_wz,cmd_out_vx,cmd_out_vy,cmd_out_wz,odom_x,odom_y
0.21,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.41,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.61,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.81,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.21,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.41,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.61,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.81,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.01,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.21,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.41,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.61,0.106,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.81,0.105,0,0.411,0.502,1,0.000,0.000,0.000,0.000,0.000,0.000,0.001,-0.007
3.01,0.408,0,0.411,0.502,1,0.000,0.000,0.000,0.000,0.000,0.000,0.002,-0.003
3.21,0.408,0,0.411,0.502,1,0.000,0.000,0.000,0.000,0.000,0.000,0.002,-0.003
3.41,0.107,0,0.422,0.478,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.002
3.61,0.106,0,0.422,0.478,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.003
3.81,0.391,0,0.413,0.453,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.009,-0.043
4.01,0.391,0,0.413,0.453,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.009,-0.043
4.21,0.105,0,0.413,0.453,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.009,-0.043
4.41,0.384,0,0.392,0.447,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.009,-0.043
4.61,0.386,0,0.392,0.447,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.009,-0.043
4.81,0.386,0,0.396,0.448,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.009,-0.043
5.01,0.386,0,0.396,0.448,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.009,-0.043
5.21,0.383,0,0.396,0.448,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.009,-0.043
5.41,0.106,0,0.393,0.435,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.009,-0.043
5.61,0.105,0,0.393,0.435,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.006,-0.036
5.81,0.105,0,0.395,0.444,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.006,-0.036
6.01,0.384,0,0.395,0.444,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.008,-0.031
6.21,0.105,0,0.395,0.444,1,0.000,0.000,0.000,0.000,0.000,0.000,0.009,-0.031
6.41,0.106,0,0.386,0.454,1,0.000,0.000,0.000,0.000,0.000,0.000,0.004,-0.032
6.61,0.106,0,0.386,0.454,1,0.000,0.000,0.000,0.000,0.000,0.000,0.004,-0.032
6.81,0.396,0,0.406,0.462,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.005,-0.019
7.01,0.399,0,0.406,0.462,1,0.000,0.000,0.000,0.000,0.000,0.000,0.013,-0.022
7.21,0.389,0,0.406,0.462,1,0.000,0.000,0.000,0.000,0.000,0.000,0.016,-0.013
7.41,0.389,0,0.399,0.465,1,0.000,0.000,0.000,0.000,0.000,0.000,0.017,-0.020
7.61,0.390,0,0.399,0.465,1,0.000,0.000,0.000,0.000,0.000,0.000,0.017,-0.020
7.81,0.105,0,0.403,0.462,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.022,-0.035
8.01,0.106,0,0.403,0.462,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.018,-0.031
8.21,0.105,0,0.403,0.462,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.023,-0.029
8.41,0.105,0,0.405,0.457,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.023,-0.029
8.61,0.394,0,0.405,0.457,1,0.000,0.000,0.000,0.000,0.000,0.000,0.039,0.011
