t,min_range,blocked,lidar_range,camera_range,agree,cmd_in_vx,cmd_in_vy,cmd_in_wz,cmd_out_vx,cmd_out_vy,cmd_out_wz,odom_x,odom_y
0.21,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.41,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.61,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.81,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.21,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.41,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.61,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.81,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.01,0.107,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.21,0.107,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.41,0.107,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.61,0.107,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.81,0.107,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.01,0.105,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.21,0.105,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.003,-0.003
3.41,0.105,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.008,-0.001
3.61,0.105,0,0.750,0.648,1,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.002
3.81,0.105,0,0.750,0.648,1,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.002
4.01,0.108,0,0.653,0.647,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.001
4.21,0.105,0,0.653,0.647,1,0.000,0.000,0.000,0.000,0.000,0.000,0.001,-0.002
4.41,0.108,0,0.653,0.647,1,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.001
4.61,0.108,0,0.695,0.648,1,0.000,0.000,0.000,0.000,0.000,0.000,0.003,-0.001
4.81,0.105,0,0.695,0.648,1,0.000,0.000,0.000,0.000,0.000,0.000,0.003,-0.001
5.01,0.105,0,0.767,0.649,1,0.000,0.000,0.000,0.000,0.000,0.000,0.002,-0.001
5.21,0.105,0,0.767,0.649,1,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.001
5.41,0.105,0,0.767,0.649,1,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.002
5.61,0.107,0,0.618,0.647,1,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.001
5.81,0.105,0,0.618,0.647,1,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.001
6.01,0.105,0,0.625,0.649,1,0.000,0.000,0.000,0.000,0.000,0.000,0.002,-0.002
6.21,0.106,0,0.625,0.649,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.020,-0.010
6.41,0.106,0,0.625,0.649,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.050,-0.026
6.61,0.105,0,1.147,0.646,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.050,-0.026
6.81,0.105,0,1.147,0.646,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.059,-0.035
7.01,0.107,0,1.132,1.099,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.042,-0.026
7.21,0.105,0,1.132,1.099,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.024,-0.036
7.41,0.105,0,1.132,1.099,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.026,-0.045
7.61,0.393,0,0.558,1.082,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.026,-0.045
7.81,0.394,0,0.558,1.082,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.032,-0.052
8.01,0.394,0,0.548,0.480,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.022,-0.056
8.21,0.395,0,0.548,0.480,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.011,-0.056
8.41,0.395,0,0.548,0.480,1,0.000,0.000,0.000,0.000,0.000,0.000,0.007,-0.040
8.61,0.107,0,0.477,0.484,1,0.000,0.000,0.000,0.000,0.000,0.000,0.007,-0.040
