t,min_range,blocked,lidar_range,camera_range,agree,cmd_in_vx,cmd_in_vy,cmd_in_wz,cmd_out_vx,cmd_out_vy,cmd_out_wz,odom_x,odom_y
0.21,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.41,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.61,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.81,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.21,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.41,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.61,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.81,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,0.004
2.01,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.002
2.21,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,0.001
2.41,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,0.001
2.61,0.105,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.004
2.81,0.105,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000
3.01,0.105,0,0.543,0.622,1,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.007
3.21,0.105,0,0.543,0.622,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.003
3.41,0.105,0,0.555,0.628,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.003
3.61,0.105,0,0.555,0.628,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000
3.81,0.105,0,0.555,0.628,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.005
4.01,0.105,0,0.552,0.628,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.005
4.21,0.415,0,0.552,0.628,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.005
4.41,0.105,0,0.555,0.630,1,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.005
4.61,0.408,0,0.555,0.630,1,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.004
4.81,0.421,0,0.555,0.630,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008
5.01,0.421,0,0.552,0.629,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008
5.21,0.105,0,0.552,0.629,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003
5.41,0.105,0,0.554,0.629,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.007
5.61,0.410,0,0.554,0.629,1,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.008
5.81,0.410,0,0.554,0.629,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.006
6.01,0.105,0,0.552,0.628,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.006
6.21,0.105,0,0.552,0.628,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.003
6.41,0.415,0,0.554,0.629,1,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.006
6.61,0.415,0,0.554,0.629,1,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.004
6.81,0.428,0,0.554,0.629,1,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.004
7.01,0.412,0,0.551,0.423,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,0.004
7.21,0.105,0,0.551,0.423,1,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.003
7.41,0.443,0,0.511,0.532,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005
7.61,0.443,0,0.511,0.532,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005
7.81,0.105,0,0.511,0.532,1,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.006
8.01,0.105,0,0.440,0.474,1,0.000,0.000,0.000,0.000,0.000,0.000,0.005,-0.001
8.21,0.105,0,0.440,0.474,1,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.003
8.41,0.105,0,0.389,0.450,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.003
8.61,0.383,0,0.389,0.450,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.003
8.81,0.105,0,0.389,0.450,1,0.000,0.000,0.000,0.000,0.000,0.000,0.033,0.008
