t,min_range,blocked,lidar_range,camera_range,agree,cmd_in_vx,cmd_in_vy,cmd_in_wz,cmd_out_vx,cmd_out_vy,cmd_out_wz,odom_x,odom_y
0.21,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.41,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.61,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.81,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.21,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.41,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.61,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.81,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.01,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.21,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.41,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.004
2.61,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,0.005
2.81,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.004
3.01,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.004
3.21,0.222,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,0.002
3.41,0.221,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.001
3.61,0.225,0,0.698,0.441,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.003
3.81,0.225,0,0.698,0.441,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.003
4.01,0.225,0,0.737,0.442,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,0.001
4.21,0.226,0,0.737,0.442,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,0.001
4.41,0.224,0,0.737,0.442,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,0.001
4.61,0.224,0,0.466,0.441,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.005,-0.005
4.81,0.222,0,0.466,0.441,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.005,-0.005
5.01,0.220,0,0.416,0.440,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,0.000
5.21,0.226,0,0.416,0.440,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.001
5.41,0.226,0,0.416,0.440,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,-0.002
5.61,0.221,0,0.428,0.443,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,-0.002
5.81,0.221,0,0.428,0.443,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.005,-0.002
6.01,0.221,0,0.426,0.442,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.005,-0.002
6.21,0.221,0,0.426,0.442,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.009,-0.006
6.41,0.221,0,0.426,0.442,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.005,-0.001
6.61,0.220,0,0.419,0.442,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.005,-0.001
6.81,0.225,0,0.419,0.442,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,-0.003
7.01,0.222,0,0.420,0.442,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.006,-0.003
7.21,0.222,0,0.420,0.442,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.002
7.41,0.227,0,0.420,0.442,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.002
7.61,0.222,0,0.418,0.442,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,-0.003
7.81,0.226,0,0.418,0.442,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.006,0.000
8.01,0.221,0,0.423,0.442,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,-0.003
8.21,0.221,0,0.423,0.442,1,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.005
8.41,0.222,0,0.423,0.442,1,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.005
8.61,0.227,0,0.426,0.442,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,-0.007
