t,min_range,blocked,lidar_range,camera_range,agree,cmd_in_vx,cmd_in_vy,cmd_in_wz,cmd_out_vx,cmd_out_vy,cmd_out_wz,odom_x,odom_y
0.21,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.41,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.61,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.81,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.21,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.41,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.61,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.81,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.01,0.105,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.21,0.104,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,0.000
2.41,0.105,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,0.003
2.61,0.105,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,-0.000
2.81,0.105,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,-0.000
3.01,0.106,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.002,-0.000
3.21,0.105,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.002
3.41,0.106,0,0.384,0.442,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.002
3.61,0.106,0,0.384,0.442,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.007,-0.002
3.81,0.105,0,0.384,0.442,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.007,-0.002
4.01,0.105,0,0.387,0.442,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.008,-0.002
4.21,0.105,0,0.387,0.442,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.001
4.41,0.105,0,0.390,0.442,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,0.002
4.61,0.105,0,0.390,0.442,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,-0.003
4.81,0.105,0,0.390,0.442,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,-0.003
5.01,0.106,0,0.395,0.442,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.005,0.004
5.21,0.106,0,0.395,0.442,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.003
5.41,0.105,0,0.385,0.441,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.005,0.002
5.61,0.105,0,0.385,0.441,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,0.000
5.81,0.104,0,0.385,0.441,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,0.000
6.01,0.105,0,0.387,0.442,1,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000
6.21,0.106,0,0.387,0.442,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.000
6.41,0.106,0,0.399,0.442,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,0.002
6.61,0.106,0,0.399,0.442,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,0.004
6.81,0.106,0,0.399,0.442,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,0.004
7.01,0.105,0,0.396,0.442,1,0.000,0.000,0.000,0.000,0.000,0.000,0.002,-0.001
7.21,0.105,0,0.396,0.442,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,-0.000
7.41,0.105,0,0.386,0.442,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,0.001
7.61,0.105,0,0.386,0.442,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,0.001
7.81,0.105,0,0.386,0.442,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,0.001
8.01,0.105,0,0.393,0.442,1,0.000,0.000,0.000,0.000,0.000,0.000,0.004,-0.001
8.21,0.105,0,0.393,0.442,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.001
8.41,0.105,0,0.386,0.442,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,0.003
8.61,0.106,0,0.386,0.442,1,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.003
