t,min_range,blocked,lidar_range,camera_range,agree,cmd_in_vx,cmd_in_vy,cmd_in_wz,cmd_out_vx,cmd_out_vy,cmd_out_wz,odom_x,odom_y
0.21,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.41,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.61,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.81,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.21,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.41,nan,0,nan,0.623,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.61,nan,0,nan,0.623,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.81,nan,0,nan,0.624,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.01,nan,0,nan,0.624,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.21,nan,0,nan,0.624,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.003
2.41,nan,0,0.605,0.625,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.003
2.61,nan,0,0.605,0.625,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001
2.81,nan,0,0.605,0.625,1,0.000,0.000,0.000,0.000,0.000,0.000,0.002,-0.003
3.01,nan,0,0.605,0.625,1,0.000,0.000,0.000,0.000,0.000,0.000,0.003,-0.004
3.21,0.105,0,0.605,0.625,1,0.000,0.000,0.000,0.000,0.000,0.000,0.004,-0.002
3.41,0.105,0,0.608,0.625,1,0.000,0.000,0.000,0.000,0.000,0.000,0.004,-0.002
3.61,0.105,0,0.608,0.625,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.003
3.81,0.105,0,0.589,0.634,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.005
4.01,0.105,0,0.589,0.634,1,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002
4.21,0.105,0,0.589,0.634,1,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002
4.41,0.105,0,0.628,0.653,1,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.005
4.61,0.105,0,0.628,0.653,1,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.002
4.81,0.105,0,0.623,0.652,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,0.002
5.01,0.105,0,0.623,0.652,1,0.000,0.000,0.000,0.000,0.000,0.000,0.002,-0.002
5.21,0.105,0,0.623,0.652,1,0.000,0.000,0.000,0.000,0.000,0.000,0.002,-0.002
5.41,0.105,0,0.620,0.649,1,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.003
5.61,0.105,0,0.620,0.649,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,0.006
5.81,0.105,0,0.616,0.648,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.003
6.01,0.105,0,0.616,0.648,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.003
6.21,0.105,0,0.616,0.648,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,0.004
6.41,0.105,0,0.617,0.650,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.006
6.61,0.105,0,0.617,0.650,1,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000
6.81,0.105,0,0.619,0.651,1,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000
7.01,0.105,0,0.619,0.651,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.001
7.21,0.105,0,0.619,0.651,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.004
7.41,0.105,0,0.626,0.648,1,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.006
7.61,0.105,0,0.626,0.648,1,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.005
7.81,0.105,0,0.616,0.646,1,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.005
8.01,0.105,0,0.616,0.646,1,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.004
8.21,0.105,0,0.616,0.646,1,0.000,0.000,0.000,0.000,0.000,0.000,0.002,-0.001
8.41,0.105,0,0.621,0.646,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006
8.61,0.105,0,0.621,0.646,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006
