[    0.0s] === run started 20260723_040657 ===
[  125.2s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.61 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  125.7s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.62 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  126.2s] CAMERA/LIDAR DISAGREE - lidar=2.34 m  camera=1.72 m  delta=-0.62 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  127.2s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.61 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  128.2s] CAMERA/LIDAR DISAGREE - lidar=2.34 m  camera=1.72 m  delta=-0.62 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  128.7s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.61 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  129.2s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.61 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  131.2s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.73 m  delta=-0.61 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  131.7s] CAMERA/LIDAR DISAGREE - lidar=2.34 m  camera=1.73 m  delta=-0.61 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  136.2s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.60 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  139.2s] CAMERA/LIDAR DISAGREE - lidar=2.34 m  camera=1.72 m  delta=-0.62 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  139.7s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.61 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  140.2s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.61 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  140.7s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.61 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
[  141.7s] CAMERA/LIDAR DISAGREE - lidar=2.33 m  camera=1.72 m  delta=-0.62 m  CAMERA SEES CLOSER - lidar may be missing this obstacle
