t,min_range,blocked,lidar_range,camera_range,agree,cmd_in_vx,cmd_in_vy,cmd_in_wz,cmd_out_vx,cmd_out_vy,cmd_out_wz,odom_x,odom_y
0.21,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.026,0.058
0.41,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.026,0.055
0.61,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.026,0.060
0.81,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.026,0.060
1.01,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.024,0.057
1.21,0.106,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.030,0.055
1.41,0.106,0,1.032,2.207,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.028,0.058
1.61,0.106,0,1.018,1.039,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.021,0.058
1.81,0.106,0,1.018,1.039,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.021,0.058
2.01,0.106,0,1.046,1.611,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.027,0.061
2.21,0.106,0,1.046,1.611,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.034,0.054
2.41,0.106,0,1.046,1.611,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.028,0.062
2.61,0.106,0,1.085,2.205,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.028,0.062
2.81,0.105,0,1.085,2.205,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.023,0.056
3.01,0.106,0,3.163,2.203,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.026,0.062
3.21,0.106,0,3.163,2.203,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.027,0.060
3.41,0.106,0,3.163,2.203,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.024,0.066
3.61,0.105,0,3.167,2.213,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.024,0.066
3.81,0.107,0,3.167,2.213,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.028,0.062
4.01,0.107,0,1.174,0.968,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.027,0.055
4.21,0.108,0,1.174,0.968,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.028,0.061
4.41,0.108,0,1.174,0.968,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.028,0.061
4.61,0.106,0,1.166,2.195,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.030,0.063
4.81,0.108,0,1.166,2.195,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.031,0.062
5.01,0.105,0,1.038,0.941,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.030,0.055
5.21,0.105,0,1.038,0.941,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.029,0.063
5.41,0.105,0,1.038,0.941,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.029,0.063
5.61,0.105,0,0.967,1.038,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.033,0.062
5.81,0.105,0,0.967,1.038,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.029,0.059
6.01,0.105,0,0.970,2.217,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.033,0.058
6.21,0.105,0,0.970,2.217,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.033,0.058
6.41,0.105,0,0.970,2.217,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.031,0.069
6.61,0.106,0,0.949,1.014,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.026,0.065
6.81,0.106,0,0.949,1.014,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.026,0.065
7.01,0.106,0,0.938,2.218,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.029,0.062
7.21,0.105,0,0.938,2.218,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.029,0.062
7.41,0.107,0,0.938,2.218,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.030,0.059
7.61,0.107,0,0.938,2.218,0,-0.145,0.037,0.000,0.000,0.000,0.000,-0.030,0.059
7.81,0.106,0,0.981,1.326,0,-0.145,0.037,0.000,0.000,0.000,0.000,-0.029,0.057
8.01,0.106,1,0.972,2.206,0,-0.145,0.037,0.000,0.000,0.000,0.000,-0.029,0.057
8.21,0.106,1,0.972,2.206,0,-0.145,0.037,0.000,0.000,0.000,0.000,-0.029,0.064
