t,range,guard_cmd,blocked,wheel_speed,wheel_omega,moving,lidar_range,camera_range
0.0,0.364,0.0,0,0.0,0.0,0,0.431,0.529
0.02,0.364,0.0,1,0.0,0.0,0,0.431,0.529
0.041,0.364,0.0,1,0.0,0.0,0,0.431,0.529
0.061,0.3645,0.0,1,0.0,0.0,0,0.375,0.434
0.082,0.3645,0.0,1,0.0,0.0,0,0.375,0.434
0.102,0.3645,0.0,1,0.0,0.0,0,0.375,0.434
0.123,0.3645,0.0,1,0.0,0.0,0,0.375,0.434
0.143,0.366,0.0,1,0.0,0.0,0,0.375,0.434
0.164,0.366,0.0,1,0.0,0.0,0,0.375,0.434
0.184,0.366,0.0,1,0.0,0.0,0,0.375,0.434
0.204,0.366,0.0,1,0.0,0.0,0,0.375,0.434
0.225,0.371,0.0,1,0.0,0.0,0,0.375,0.434
0.245,0.371,0.0,1,0.0,0.0,0,0.375,0.434
0.265,0.371,0.0,1,0.0,0.0,0,0.375,0.434
0.286,0.371,0.0,1,0.0,0.0,0,0.375,0.434
0.306,0.371,0.0,1,0.0,0.0,0,0.375,0.434
0.326,0.371,0.0,1,0.0,0.0,0,0.375,0.434
0.347,0.371,0.0,1,0.0,0.0,0,0.375,0.434
0.367,0.371,0.0,1,0.0,0.0,0,0.375,0.434
0.387,0.371,0.0,1,0.0,0.0,0,0.375,0.434
0.408,0.371,0.0,1,0.0,0.0,0,0.375,0.434
0.428,0.371,0.0,1,0.0,0.0,0,0.375,0.434
0.449,0.371,0.0,1,0.0,0.0,0,0.375,0.434
0.469,0.371,0.0,1,0.0,0.0,0,0.375,0.434
0.489,0.371,0.0,1,0.0,0.0,0,0.375,0.434
0.51,0.371,0.0,1,0.0,0.0,0,0.375,0.434
0.531,0.369,0.0,1,0.0,0.0,0,0.375,0.434
0.552,0.369,0.0,1,0.0,0.0,0,0.38,0.433
0.573,0.369,0.0,1,0.0,0.0,0,0.38,0.433
0.593,0.369,0.0,1,0.0,0.0,0,0.38,0.433
0.614,0.363,0.0,1,0.0,0.0,0,0.38,0.433
0.634,0.363,0.0,1,0.0,0.0,0,0.38,0.433
0.654,0.363,0.0,1,0.0,0.0,0,0.38,0.433
0.675,0.363,0.0,1,0.0,0.0,0,0.38,0.433
0.695,0.353,0.0,1,0.0,0.0,0,0.38,0.433
0.716,0.353,0.0,1,0.0,0.0,0,0.38,0.433
0.736,0.353,0.0,1,0.0,0.0,0,0.38,0.433
0.756,0.353,0.0,1,0.0,0.0,0,0.38,0.433
0.777,0.343,0.0,1,0.0,0.0,0,0.38,0.433
0.798,0.343,0.0,1,0.0,0.0,0,0.38,0.433
0.819,0.343,0.0,1,0.0,0.0,0,0.38,0.433
0.839,0.343,0.0,1,0.0,0.0,0,0.38,0.433
0.859,0.331,0.0,1,0.0,0.0,0,0.38,0.433
0.88,0.331,0.0,1,0.0,0.0,0,0.38,0.433
0.9,0.331,0.0,1,0.0,0.0,0,0.38,0.433
0.92,0.331,0.0,1,0.0,0.0,0,0.38,0.433
0.941,0.321,0.0,1,0.0,0.0,0,0.38,0.433
0.961,0.321,0.0,1,0.0,0.0,0,0.38,0.433
0.982,0.321,0.0,1,0.0,0.0,0,0.38,0.433
1.002,0.321,0.0,1,0.0,0.0,0,0.38,0.433
1.022,0.313,0.0,1,0.0,0.0,0,0.38,0.433
1.043,0.313,0.0,1,0.0,0.0,0,0.38,0.433
1.063,0.313,0.0,1,0.0,0.0,0,0.326,0.371
1.084,0.308,0.0,1,0.0,0.0,0,0.326,0.371
1.104,0.308,0.0,1,0.0,0.0,0,0.326,0.371
1.125,0.308,0.0,1,0.0,0.0,0,0.326,0.371
1.145,0.308,0.0,1,0.0,0.0,0,0.326,0.371
1.166,0.305,0.0,1,0.0,0.0,0,0.326,0.371
1.186,0.305,0.0,1,0.0,0.0,0,0.326,0.371
1.206,0.305,0.0,1,0.0,0.0,0,0.326,0.371
1.227,0.305,0.0,1,0.0,0.0,0,0.326,0.371
1.248,0.303,0.0,1,0.0,0.0,0,0.326,0.371
1.268,0.303,0.0,1,0.0,0.0,0,0.326,0.371
1.288,0.303,0.0,1,0.0,0.0,0,0.326,0.371
1.309,0.303,0.0,1,0.0,0.0,0,0.326,0.371
1.33,0.305,0.0,1,0.0,0.0,0,0.326,0.371
1.35,0.305,0.0,1,0.0,0.0,0,0.326,0.371
1.37,0.305,0.0,1,0.0,0.0,0,0.326,0.371
1.391,0.305,0.0,1,0.0,0.0,0,0.326,0.371
1.411,0.307,0.0,1,0.0,0.0,0,0.326,0.371
1.432,0.307,0.0,1,0.0,0.0,0,0.326,0.371
1.452,0.307,0.0,1,0.0,0.0,0,0.326,0.371
1.473,0.307,0.0,1,0.0,0.0,0,0.326,0.371
1.493,0.312,0.0,1,0.0,0.0,0,0.326,0.371
1.513,0.312,0.0,1,0.0,0.0,0,0.326,0.371
1.534,0.312,0.0,1,0.0,0.0,0,0.326,0.371
1.554,0.312,0.0,1,0.0,0.0,0,0.325,0.368
1.574,0.32,0.0,1,0.0,0.0,0,0.325,0.368
1.595,0.32,0.0,1,0.0,0.0,0,0.325,0.368
1.615,0.32,0.0,1,0.0,0.0,0,0.325,0.368
1.635,0.32,0.0,1,0.0,0.0,0,0.325,0.368
1.656,0.327,0.0,1,0.0,0.0,0,0.325,0.368
1.676,0.327,0.0,1,0.0,0.0,0,0.325,0.368
1.696,0.327,0.0,1,0.0,0.0,0,0.325,0.368
1.717,0.33,0.0,1,0.0,0.0,0,0.325,0.368
1.737,0.33,0.0,1,0.0,0.0,0,0.325,0.368
1.757,0.33,0.0,1,0.0,0.0,0,0.325,0.368
1.778,0.33,0.0,1,0.0,0.0,0,0.325,0.368
1.799,0.327,0.0,1,0.0,0.0,0,0.325,0.368
1.819,0.327,0.0,1,0.0,0.0,0,0.325,0.368
1.839,0.327,0.0,1,0.0,0.0,0,0.325,0.368
1.86,0.327,0.0,1,0.0,0.0,0,0.325,0.368
1.88,0.337,0.0,1,0.0,0.0,0,0.325,0.368
1.9,0.337,0.0,1,0.0,0.0,0,0.325,0.368
1.921,0.337,0.0,1,0.0,0.0,0,0.325,0.368
1.941,0.337,0.0,1,0.0,0.0,0,0.325,0.368
1.961,0.4095,0.0,1,0.0,0.0,0,0.325,0.368
