t,min_range,blocked,lidar_range,camera_range,agree,cmd_in_vx,cmd_in_vy,cmd_in_wz,cmd_out_vx,cmd_out_vy,cmd_out_wz,odom_x,odom_y
0.22,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.42,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.62,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.82,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.02,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.22,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.42,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.62,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.82,0.610,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02,0.610,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.22,0.470,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001
2.42,0.360,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002
2.62,0.484,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.003,-0.001
2.82,0.484,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.003
3.02,0.470,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.003
3.22,0.470,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.004
3.42,0.486,0,0.573,0.628,1,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.004
3.62,0.486,0,0.573,0.628,1,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.001
3.82,0.484,0,0.573,0.628,1,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.001
4.02,0.470,0,0.531,0.582,1,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.002
4.22,0.479,0,0.531,0.582,1,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.002
4.42,0.439,0,0.498,0.503,1,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.006
4.62,0.439,0,0.498,0.503,1,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.006
4.82,0.380,0,0.498,0.503,1,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.004
5.02,0.388,0,0.391,0.474,1,0.000,0.000,0.000,0.000,0.000,0.000,0.006,-0.001
5.22,0.393,0,0.391,0.474,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,-0.086
5.42,0.393,0,0.403,0.456,1,0.000,0.000,0.000,0.000,0.000,0.000,0.017,-0.106
5.62,0.105,0,0.403,0.456,1,0.000,0.000,0.000,0.000,0.000,0.000,0.017,-0.106
5.82,0.105,0,0.403,0.456,1,0.000,0.000,0.000,0.000,0.000,0.000,0.032,-0.106
6.02,0.105,0,0.399,0.433,1,0.000,0.000,0.000,0.000,0.000,0.000,0.033,-0.076
6.22,0.105,0,0.399,0.433,1,0.000,0.000,0.000,0.000,0.000,0.000,0.050,-0.053
6.42,0.370,0,0.381,0.439,1,0.000,0.000,0.000,0.000,0.000,0.000,0.050,-0.053
6.62,0.105,0,0.381,0.439,1,0.000,0.000,0.000,0.000,0.000,0.000,0.068,0.006
6.82,0.105,0,0.381,0.439,1,0.000,0.000,0.000,0.000,0.000,0.000,0.068,0.006
7.02,0.395,0,0.406,0.467,1,0.000,0.000,0.000,0.000,0.000,0.000,0.068,0.006
7.22,0.395,0,0.406,0.467,1,0.000,0.000,0.000,0.000,0.000,0.000,0.068,0.006
7.42,0.105,0,0.410,0.437,1,0.000,0.000,0.000,0.000,0.000,0.000,0.068,0.006
7.62,0.106,0,0.410,0.437,1,0.000,0.000,0.000,0.000,0.000,0.000,0.068,0.006
7.82,0.395,0,0.410,0.437,1,0.000,0.000,0.000,0.000,0.000,0.000,0.068,0.006
8.02,0.395,0,0.405,0.441,1,0.000,0.000,0.000,0.000,0.000,0.000,0.068,0.006
8.22,0.386,0,0.405,0.441,1,0.000,0.000,0.000,0.000,0.000,0.000,0.068,0.006
8.42,0.106,0,0.388,0.417,1,0.000,0.000,0.000,0.000,0.000,0.000,0.103,0.054
8.62,0.378,0,0.388,0.417,1,0.000,0.000,0.000,0.000,0.000,0.000,0.040,-0.006
8.82,0.378,0,0.388,0.417,1,0.000,0.000,0.000,0.000,0.000,0.000,0.042,-0.018
9.02,0.377,0,0.427,2.433,0,0.000,0.000,0.000,0.000,0.000,0.000,0.042,-0.018
9.22,0.419,0,0.427,2.433,0,0.000,0.000,0.000,0.000,0.000,0.000,0.049,-0.013
9.42,0.394,0,2.322,2.434,1,0.000,0.000,0.000,0.000,0.000,0.000,0.044,-0.019
9.62,0.421,0,2.322,2.434,1,0.000,0.000,0.000,0.000,0.000,0.000,0.048,-0.017
9.82,0.421,0,2.322,2.434,1,0.000,0.000,0.000,0.000,0.000,0.000,0.048,-0.017
10.02,0.404,0,2.326,2.406,1,0.000,0.000,0.000,0.000,0.000,0.000,0.051,-0.015
10.22,0.392,0,2.326,2.406,1,0.000,0.000,0.000,0.000,0.000,0.000,0.045,-0.018
10.42,0.409,0,2.334,2.459,1,0.000,0.000,0.000,0.000,0.000,0.000,0.085,0.033
10.62,0.409,0,2.334,2.459,1,0.000,0.000,0.000,0.000,0.000,0.000,0.082,0.048
10.82,0.417,0,2.334,2.459,1,0.000,0.000,0.000,0.000,0.000,0.000,0.082,0.048
11.02,0.105,0,2.332,2.444,1,0.000,0.000,0.000,0.000,0.000,0.000,0.069,0.056
11.22,0.468,0,2.332,2.444,1,0.000,0.000,0.000,0.000,0.000,0.000,0.067,0.065
11.42,0.468,0,2.355,2.566,0,0.000,0.000,0.000,0.000,0.000,0.000,0.066,0.069
11.62,0.106,0,2.355,2.566,0,0.000,0.000,0.000,0.000,0.000,0.000,0.066,0.069
11.82,0.492,0,2.355,2.566,0,0.000,0.000,0.000,0.000,0.000,0.000,0.052,0.064
12.02,0.488,0,2.358,0.440,0,0.000,0.000,0.000,0.000,0.000,0.000,0.023,0.027
12.22,0.486,0,2.358,0.440,0,0.000,0.000,0.000,0.000,0.000,0.000,0.042,0.030
12.42,0.486,0,2.361,3.781,0,0.000,0.000,0.000,0.000,0.000,0.000,0.042,0.030
12.62,0.466,0,2.361,3.781,0,0.000,0.000,0.000,0.000,0.000,0.000,0.052,0.083
