t,min_range,blocked,lidar_range,camera_range,agree,cmd_in_vx,cmd_in_vy,cmd_in_wz,cmd_out_vx,cmd_out_vy,cmd_out_wz,odom_x,odom_y
0.22,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.42,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.006,-0.021
0.62,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.011,-0.012
0.82,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.014,0.005
1.02,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.016,-0.001
1.22,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.011,-0.019
1.42,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.013,-0.018
1.62,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.011,-0.014
1.82,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.005,-0.010
2.02,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.017,-0.007
2.22,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.027,-0.006
2.42,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.011,-0.015
2.62,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.011,-0.015
2.82,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.013,-0.005
3.02,nan,0,0.402,0.423,1,0.000,0.000,0.000,0.000,0.000,0.000,0.022,-0.005
3.22,nan,0,0.402,0.423,1,0.000,0.000,0.000,0.000,0.000,0.000,0.019,-0.010
3.42,nan,0,0.402,0.423,1,0.000,0.000,0.000,0.000,0.000,0.000,0.012,-0.010
3.62,nan,0,0.407,0.423,1,0.000,0.000,0.000,0.000,0.000,0.000,0.007,-0.011
3.82,0.108,0,0.407,0.423,1,0.000,0.000,0.000,0.000,0.000,0.000,0.014,-0.008
4.02,0.391,0,0.407,0.423,1,0.000,0.000,0.000,0.000,0.000,0.000,0.012,-0.010
4.22,0.106,0,0.407,0.423,1,0.000,0.000,0.000,0.000,0.000,0.000,0.010,-0.019
4.42,0.391,0,0.407,0.423,1,0.000,0.000,0.000,0.000,0.000,0.000,0.014,-0.014
4.62,0.106,0,0.402,0.423,1,0.000,0.000,0.000,0.000,0.000,0.000,0.019,-0.012
4.82,0.105,0,0.402,0.423,1,0.000,0.000,0.000,0.000,0.000,0.000,0.020,-0.010
5.02,0.108,0,0.404,0.423,1,0.000,0.000,0.000,0.000,0.000,0.000,0.017,-0.005
5.22,0.106,0,0.404,0.423,1,0.000,0.000,0.000,0.000,0.000,0.000,0.016,-0.013
5.42,0.106,0,0.404,0.423,1,0.000,0.000,0.000,0.000,0.000,0.000,0.016,-0.015
5.62,0.105,0,0.404,0.423,1,0.000,0.000,0.000,0.000,0.000,0.000,0.019,-0.013
5.82,0.394,0,0.404,0.423,1,0.000,0.000,0.000,0.000,0.000,0.000,0.018,-0.018
6.02,0.396,0,0.405,0.423,1,0.000,0.000,0.000,0.000,0.000,0.000,0.014,-0.016
6.22,0.396,0,0.405,0.423,1,0.000,0.000,0.000,0.000,0.000,0.000,0.008,-0.009
