t,range,guard_cmd,blocked,wheel_speed,wheel_omega,moving,lidar_range,camera_range
0.0,0.5295,0.0,0,0.0,0.0,0,0.847,0.55
0.021,0.5305,0.15,0,0.0,0.0,0,0.847,0.55
0.041,0.5305,0.15,0,0.0,0.0,0,0.847,0.55
0.062,0.5305,0.15,0,0.0147,0.0521,1,0.847,0.55
0.082,0.5305,0.15,0,0.0147,0.0521,1,0.847,0.55
0.102,0.5315,0.15,0,0.0147,0.0521,1,0.847,0.55
0.123,0.5315,0.15,0,0.0147,0.0521,1,0.847,0.55
0.143,0.5315,0.15,0,0.0147,0.0521,1,0.847,0.55
0.163,0.5315,0.15,0,0.0736,0.052,1,0.847,0.55
0.184,0.5425,0.15,0,0.0736,0.052,1,0.847,0.55
0.204,0.5425,0.15,0,0.0736,0.052,1,0.847,0.55
0.548,0.8505,0.15,0,0.2089,0.104,1,0.543,0.55
0.569,0.5315,0.15,0,0.2355,0.2106,1,0.543,0.55
0.589,0.5315,0.15,0,0.2355,0.2106,1,0.543,0.55
0.609,0.5315,0.15,0,0.2355,0.2106,1,0.543,0.55
0.63,0.5315,0.15,0,0.2355,0.2106,1,0.543,0.55
0.65,0.5305,0.15,0,0.2355,0.2106,1,0.543,0.55
0.671,0.5305,0.15,0,0.2632,0.1568,1,0.543,0.55
0.691,0.5305,0.15,0,0.2632,0.1568,1,0.543,0.55
0.712,0.5305,0.15,0,0.2632,0.1568,1,0.543,0.55
0.732,0.5355,0.15,0,0.2632,0.1568,1,0.543,0.55
0.753,0.5355,0.15,0,0.2632,0.1568,1,0.543,0.55
0.773,0.5355,0.15,0,0.2622,0.1562,1,0.543,0.55
0.794,0.5355,0.15,0,0.2622,0.1562,1,0.543,0.55
0.814,0.5295,0.15,0,0.2622,0.1562,1,0.543,0.55
0.834,0.5295,0.15,0,0.2622,0.1562,1,0.537,0.55
0.855,0.5295,0.15,0,0.2622,0.1562,1,0.537,0.55
0.875,0.5295,0.15,0,0.2746,0.1053,1,0.537,0.55
0.896,0.5295,0.15,0,0.2746,0.1053,1,0.537,0.55
0.916,0.5295,0.15,0,0.2746,0.1053,1,0.537,0.55
0.936,0.5295,0.15,0,0.2746,0.1053,1,0.537,0.55
0.957,0.5295,0.15,0,0.2746,0.1053,1,0.537,0.55
0.977,0.5305,0.15,0,0.3039,0.1564,1,0.537,0.55
0.998,0.5305,0.15,0,0.3039,0.1564,1,0.537,0.55
1.018,0.5305,0.15,0,0.3039,0.1564,1,0.537,0.55
1.039,0.5375,0.15,0,0.3039,0.1564,1,0.537,0.55
1.061,0.5375,0.15,0,0.3039,0.1564,1,0.537,0.55
1.081,0.5375,0.15,0,0.2924,0.1042,1,0.537,0.55
1.101,0.5375,0.15,0,0.2924,0.1042,1,0.537,0.55
1.122,0.5365,0.15,0,0.2924,0.1042,1,0.537,0.55
1.142,0.5365,0.15,0,0.2924,0.1042,1,0.537,0.55
1.163,0.5365,0.15,0,0.2924,0.1042,1,0.537,0.55
1.183,0.5365,0.15,0,0.3042,0.1565,1,0.537,0.55
1.204,0.8685,0.15,0,0.3042,0.1565,1,0.537,0.55
1.225,0.8685,0.15,0,0.3042,0.1565,1,0.537,0.55
1.246,0.8685,0.15,0,0.3042,0.1565,1,0.537,0.55
1.266,0.8685,0.15,0,0.3042,0.1565,1,0.537,0.55
1.287,0.5335,0.15,0,0.2924,0.1041,1,0.537,0.55
1.307,0.5335,0.15,0,0.2924,0.1041,1,0.537,0.55
1.328,0.5335,0.15,0,0.2924,0.1041,1,0.541,0.55
