t,min_range,blocked,lidar_range,camera_range,agree,cmd_in_vx,cmd_in_vy,cmd_in_wz,cmd_out_vx,cmd_out_vy,cmd_out_wz,odom_x,odom_y
0.21,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.41,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.61,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.002,-0.006
0.81,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,-0.003
1.01,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.008
1.21,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.004,-0.004
1.41,0.109,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.001,-0.013
1.61,0.112,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.019
1.81,0.111,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.018
2.01,0.108,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.010,-0.016
2.21,0.109,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.012,-0.012
2.41,0.109,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.006,-0.017
2.61,0.112,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.003,-0.018
2.81,0.353,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.016,0.004
3.01,0.353,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.021,0.012
3.21,0.109,0,0.451,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.021,0.002
3.41,0.108,0,0.451,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.015,-0.009
3.61,0.108,0,0.453,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.018,-0.009
3.81,0.108,0,0.453,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.022,-0.014
4.01,0.112,0,0.453,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.012,-0.017
4.21,0.108,0,0.454,0.478,1,0.000,0.000,0.000,0.000,0.000,0.000,0.017,-0.012
4.41,0.112,0,0.454,0.478,1,0.000,0.000,0.000,0.000,0.000,0.000,0.026,-0.005
4.61,0.353,0,0.454,0.478,1,0.000,0.000,0.000,0.000,0.000,0.000,0.024,-0.010
4.81,0.353,0,0.454,0.478,1,0.000,0.000,0.000,0.000,0.000,0.000,0.018,-0.008
5.01,0.111,0,0.454,0.478,1,0.000,0.000,0.000,0.000,0.000,0.000,0.017,0.000
5.21,0.108,0,0.893,0.479,0,0.000,0.000,0.000,0.000,0.000,0.000,0.023,-0.005
5.41,0.112,0,0.893,0.479,0,0.000,0.000,0.000,0.000,0.000,0.000,0.028,-0.010
5.61,0.109,0,0.450,0.479,1,0.000,0.000,0.000,0.000,0.000,0.000,0.025,-0.005
5.81,0.112,0,0.450,0.479,1,0.000,0.000,0.000,0.000,0.000,0.000,0.027,-0.020
6.01,0.108,0,0.450,0.479,1,0.000,0.000,0.000,0.000,0.000,0.000,0.040,-0.024
6.21,0.108,0,0.454,0.478,1,0.000,0.000,0.000,0.000,0.000,0.000,0.048,-0.031
6.41,0.108,0,0.454,0.478,1,0.000,0.000,0.000,0.000,0.000,0.000,0.048,-0.030
6.61,0.108,0,0.449,0.478,1,0.000,0.000,0.000,0.000,0.000,0.000,0.037,-0.036
6.81,0.112,0,0.449,0.478,1,0.000,0.000,0.000,0.000,0.000,0.000,0.033,-0.029
7.01,0.353,0,0.449,0.478,1,0.000,0.000,0.000,0.000,0.000,0.000,0.031,-0.022
7.21,0.108,0,0.453,0.478,1,0.000,0.000,0.000,0.000,0.000,0.000,0.028,-0.034
7.41,0.112,0,0.453,0.478,1,0.000,0.000,0.000,0.000,0.000,0.000,0.017,-0.037
7.61,0.353,0,0.454,0.478,1,0.000,0.000,0.000,0.000,0.000,0.000,0.019,-0.026
7.81,0.108,0,0.454,0.478,1,0.000,0.000,0.000,0.000,0.000,0.000,0.034,-0.027
8.01,0.111,0,0.454,0.478,1,0.000,0.000,0.000,0.000,0.000,0.000,0.032,-0.024
8.21,0.109,0,0.453,0.478,1,0.000,0.000,0.000,0.000,0.000,0.000,0.015,-0.022
8.41,0.108,0,0.453,0.478,1,0.000,0.000,0.000,0.000,0.000,0.000,0.006,-0.032
8.61,0.112,0,0.896,0.479,0,0.000,0.000,0.000,0.000,0.000,0.000,0.014,-0.025
