t,min_range,blocked,lidar_range,camera_range,agree,cmd_in_vx,cmd_in_vy,cmd_in_wz,cmd_out_vx,cmd_out_vy,cmd_out_wz,odom_x,odom_y
0.21,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.42,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.61,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.81,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.21,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.41,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.61,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.81,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.01,0.227,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.21,0.227,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.005
2.41,0.229,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,-0.004
2.62,0.229,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,-0.004
2.81,0.228,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.003
3.01,0.228,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.003
3.21,0.228,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,-0.004
3.41,0.228,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,-0.004
3.62,0.228,0,3.189,1.092,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,-0.000
3.81,0.229,0,3.189,1.092,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.001
4.02,0.232,0,3.189,1.092,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,-0.002
4.21,0.228,0,3.175,0.466,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.003
4.41,0.228,0,3.175,0.466,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.003
4.61,0.233,0,3.162,2.208,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,0.001
4.81,0.232,0,3.162,2.208,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.005
5.01,0.234,0,3.162,2.208,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.007
5.21,0.234,0,3.163,2.214,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.007
5.41,0.228,0,3.163,2.214,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.003
5.61,0.227,0,3.173,2.217,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.003
5.81,0.229,0,3.173,2.217,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.003
6.01,0.229,0,3.173,2.217,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.003
6.21,0.228,0,3.177,2.232,0,0.000,0.000,0.000,0.000,0.000,0.000,0.001,-0.005
6.41,0.229,0,3.177,2.232,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.001
6.61,0.231,0,3.189,2.196,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.002
6.81,0.233,0,3.189,2.196,0,0.000,0.000,0.000,0.000,0.000,0.000,0.001,-0.005
7.01,0.233,0,3.189,2.196,0,0.000,0.000,0.000,0.000,0.000,0.000,0.001,-0.005
7.21,0.234,0,3.193,2.236,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000
7.41,0.183,0,3.193,2.236,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.001
7.61,0.209,0,3.160,2.212,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.002
7.81,0.209,0,3.160,2.212,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.005
8.01,0.228,0,3.160,2.212,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.005
8.21,0.210,0,0.534,2.218,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,-0.002
8.41,0.218,0,0.534,2.218,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.000
8.61,0.115,0,0.482,0.997,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,-0.003
8.81,0.115,0,0.482,0.997,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,-0.003
9.01,0.229,0,0.482,0.997,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.005,-0.005
9.21,0.116,0,0.423,2.205,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.001
9.41,0.116,0,0.423,2.205,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.004
9.61,0.116,0,0.420,2.232,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.004
9.81,0.116,0,0.420,2.232,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.004
10.01,0.228,0,0.420,2.232,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.006
10.21,0.227,0,0.422,0.989,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.002
10.41,0.115,0,0.422,0.989,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.002
10.61,0.115,0,0.436,2.224,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.002
10.81,0.232,0,0.436,2.224,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,-0.001
11.01,0.228,0,0.436,2.224,0,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.003
11.21,0.229,0,0.503,2.217,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001
11.41,0.229,0,0.503,2.217,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001
11.61,0.227,0,0.506,2.204,0,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000
11.81,0.115,0,0.506,2.204,0,0.000,0.000,0.000,0.000,0.000,0.000,0.001,-0.006
12.01,0.228,0,0.506,2.204,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.000
12.21,0.115,0,0.514,2.233,0,0.000,0.000,0.000,0.000,0.000,0.000,0.001,-0.005
12.41,0.115,0,0.514,2.233,0,0.000,0.000,0.000,0.000,0.000,0.000,0.001,-0.005
12.61,0.115,0,0.517,2.212,0,0.000,0.000,0.000,0.000,0.000,0.000,0.002,-0.002
12.81,0.116,0,0.517,2.212,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.001
13.01,0.115,0,0.517,2.212,0,0.000,0.000,0.000,0.000,0.000,0.000,0.004,-0.002
13.22,0.115,0,0.518,2.195,0,0.000,0.000,0.000,0.000,0.000,0.000,0.004,-0.002
13.41,0.115,0,0.518,2.195,0,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.003
13.61,0.116,0,0.522,2.197,0,0.000,0.000,0.000,0.000,0.000,0.000,0.004,-0.006
13.81,0.116,0,0.522,2.197,0,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.003
14.01,0.115,0,0.522,2.197,0,0.000,0.000,0.000,0.000,0.000,0.000,0.004,-0.002
14.21,0.115,0,0.518,0.988,0,0.000,0.000,0.000,0.000,0.000,0.000,0.004,-0.002
14.41,0.115,0,0.518,0.988,0,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.002
14.61,0.164,0,0.522,0.984,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.008
14.81,0.169,0,0.522,0.984,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001
15.01,0.170,0,0.522,0.984,0,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.006
15.21,0.170,0,0.474,2.202,0,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.006
15.41,0.115,0,0.474,2.202,0,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.005
15.61,0.227,0,0.463,2.222,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.005
15.81,0.229,0,0.463,2.222,0,0.000,0.000,0.000,0.000,0.000,0.000,0.001,-0.002
16.01,0.229,0,0.463,2.222,0,0.000,0.000,0.000,0.000,0.000,0.000,0.001,-0.002
16.21,0.227,0,0.461,2.197,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.001
16.41,0.230,0,0.461,2.197,0,0.000,0.000,0.000,0.000,0.000,0.000,0.001,-0.001
16.61,0.227,0,0.453,2.184,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006
16.81,0.227,0,0.453,2.184,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.002
17.01,0.227,0,0.453,2.184,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.002
17.21,0.230,0,0.451,2.191,0,0.000,0.000,0.000,0.000,0.000,0.000,0.001,-0.000
17.41,0.227,0,0.451,2.191,0,0.000,0.000,0.000,0.000,0.000,0.000,0.001,-0.003
17.61,0.228,0,0.450,2.183,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,0.006
17.81,0.228,0,0.450,2.183,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,0.006
18.01,0.229,0,0.450,2.183,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,-0.004
18.21,0.229,0,0.456,1.019,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,0.000
18.41,0.233,0,0.456,1.019,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.001
18.61,0.228,0,0.458,0.998,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001
18.81,0.228,0,0.458,0.998,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001
19.02,0.228,0,0.458,0.998,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.002
19.21,0.230,0,0.453,0.991,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.012
19.41,0.233,0,0.453,0.991,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.006,0.008
19.61,0.233,0,0.428,1.083,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.006,0.008
19.81,0.229,0,0.428,1.083,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,-0.004
20.01,0.228,0,0.428,1.083,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.003
20.22,0.228,0,0.444,1.084,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.009
20.41,0.228,0,0.444,1.084,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.005
20.61,0.228,0,0.458,0.925,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.005
20.82,0.228,0,0.458,0.925,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.006,-0.011
21.01,0.228,0,0.458,0.925,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,-0.006
21.21,0.229,0,0.437,2.209,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.006,-0.005
21.41,0.229,0,0.437,2.209,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.006,-0.005
21.62,0.115,0,0.424,1.641,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.005,-0.004
21.82,0.116,0,0.424,1.641,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.005
22.01,0.229,0,0.424,1.641,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.002
22.21,0.228,0,0.431,2.215,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.006,-0.004
22.41,0.228,0,0.431,2.215,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.006,-0.004
22.61,0.115,0,0.416,1.469,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.008
22.81,0.115,0,0.416,1.469,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,-0.005
23.01,0.228,0,0.416,1.469,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.007,-0.010
23.21,0.228,0,0.412,1.040,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.007,-0.010
23.41,0.232,0,0.412,1.040,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.008,-0.005
