t,min_range,blocked,lidar_range,camera_range,agree,cmd_in_vx,cmd_in_vy,cmd_in_wz,cmd_out_vx,cmd_out_vy,cmd_out_wz,odom_x,odom_y
12.01,0.106,0,0.473,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,0.001,-0.002
12.21,0.417,0,0.473,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.000
12.41,0.417,0,0.471,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.001
12.61,0.417,0,0.471,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,0.005,-0.001
12.81,0.415,0,0.471,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,0.001,-0.001
13.01,0.417,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,0.001,-0.001
13.21,0.417,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,0.002,-0.002
13.41,0.106,0,0.471,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,0.004
13.61,0.106,0,0.471,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.001
13.81,0.417,0,0.471,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,0.002,-0.003
14.01,0.417,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,0.002,-0.003
14.21,0.105,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,0.002,-0.002
14.41,0.106,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.002
14.61,0.106,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,0.001,-0.003
14.81,0.415,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,0.001,-0.003
15.01,0.416,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.006,-0.002
15.21,0.417,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.006
15.41,0.415,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.007,-0.003
15.61,0.415,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,-0.004
15.81,0.105,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,-0.004
16.01,0.105,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000
16.21,0.106,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.002
16.41,0.106,0,0.470,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.005
16.61,0.106,0,0.470,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.005
16.81,0.419,0,0.470,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.005
17.01,0.415,0,0.473,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,-0.001
17.21,0.417,0,0.473,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.006,0.001
17.41,0.104,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,0.002,-0.004
17.61,0.104,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.009,-0.000
17.81,0.108,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.009,-0.000
18.01,0.415,0,0.473,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,-0.001
18.21,0.106,0,0.473,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,0.001,-0.003
18.41,0.105,0,0.473,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001
18.61,0.105,0,0.473,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.007,0.004
18.81,0.415,0,0.473,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.007,0.004
19.01,0.415,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.006,-0.000
19.21,0.417,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.007,-0.002
19.41,0.417,0,0.471,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.006,-0.002
19.61,0.415,0,0.471,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.008,-0.004
19.81,0.415,0,0.471,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.008,-0.004
20.01,0.417,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000
20.21,0.417,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,0.002
20.41,0.417,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.009,0.002
20.61,0.416,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.006,-0.003
20.81,0.105,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.006,-0.003
21.01,0.105,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,-0.003
21.21,0.415,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.006
21.41,0.415,0,0.470,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.013,-0.001
21.61,0.417,0,0.470,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,-0.003
21.81,0.416,0,0.470,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,-0.003
22.01,0.415,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,0.001,-0.002
22.21,0.417,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.005,-0.004
22.41,0.417,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.007
22.61,0.415,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.007
22.81,0.106,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,-0.002
23.01,0.417,0,0.471,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.006,0.001
23.21,0.417,0,0.471,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.014,-0.004
23.41,0.417,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.005
23.61,0.417,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.005
23.81,0.415,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,-0.003
24.01,0.416,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.008
24.21,0.105,0,0.472,0.558,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.009,-0.004
24.41,0.105,0,0.472,0.559,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.006,-0.003
