t,min_range,blocked,lidar_range,camera_range,agree,cmd_in_vx,cmd_in_vy,cmd_in_wz,cmd_out_vx,cmd_out_vy,cmd_out_wz,odom_x,odom_y
0.22,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.42,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.62,0.448,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.82,0.447,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.02,0.446,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.22,0.453,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.42,0.447,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.62,0.450,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.82,0.454,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02,0.449,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.22,0.445,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.42,0.453,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.62,0.451,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.82,0.449,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.02,0.449,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.22,0.444,0,0.798,0.424,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,-0.000
3.42,0.401,0,0.798,0.424,0,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.003
3.62,0.346,0,0.798,0.424,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.005,0.004
3.82,0.357,0,0.801,0.424,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.007,-0.001
4.02,0.386,0,0.801,0.424,0,0.000,0.000,0.000,0.000,0.000,0.000,0.001,-0.002
4.22,0.535,0,0.803,0.426,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.005
4.42,0.535,0,0.803,0.426,0,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.003
4.62,0.289,0,0.803,0.426,0,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000
4.82,0.329,0,0.797,0.424,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,0.000
5.02,0.363,0,0.797,0.424,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.007,-0.003
5.22,0.374,0,0.798,0.425,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.008,0.001
5.42,0.401,0,0.798,0.425,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.008,0.005
5.62,0.417,0,0.798,0.425,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,0.001
5.82,0.411,0,0.802,0.425,0,0.000,0.000,0.000,0.000,0.000,0.000,0.002,-0.008
6.02,0.394,0,0.802,0.425,0,0.000,0.000,0.000,0.000,0.000,0.000,0.003,-0.008
6.22,0.395,0,0.789,0.425,0,0.000,0.000,0.000,0.000,0.000,0.000,0.004,-0.001
6.42,0.398,0,0.789,0.425,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004
6.62,0.404,0,0.789,0.425,0,0.000,0.000,0.000,0.000,0.000,0.000,0.001,-0.001
6.82,0.412,0,0.807,0.427,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.000
7.02,0.416,0,0.807,0.427,0,0.000,0.000,0.000,0.000,0.000,0.000,0.001,-0.004
7.22,0.402,0,0.789,0.427,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,-0.003
7.42,0.404,0,0.789,0.427,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,0.002
7.62,0.481,0,0.789,0.427,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,0.001
7.82,0.478,0,0.790,0.427,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,-0.002
8.02,0.327,0,0.790,0.427,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.007,0.002
8.22,0.263,0,0.806,0.655,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.014,0.011
8.42,0.192,0,0.806,0.655,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.007,0.008
8.62,0.170,0,0.806,0.655,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.002
8.82,0.248,0,0.789,0.317,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.008,0.001
9.02,0.396,0,0.789,0.317,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.009,-0.003
9.22,0.450,0,0.801,0.421,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.009,-0.000
9.42,0.476,0,0.801,0.421,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.012,0.001
9.62,0.514,0,0.801,0.421,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.011,-0.002
9.82,0.526,0,0.790,0.420,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.013,-0.002
10.02,0.467,0,0.790,0.420,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,0.001
10.22,0.399,0,0.798,0.423,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,0.002
10.42,0.472,0,0.798,0.423,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.016,0.002
10.62,0.479,0,0.798,0.423,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.018,-0.003
10.82,0.479,0,0.819,0.421,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.012,-0.003
11.02,0.484,0,0.819,0.421,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.036,0.004
11.22,0.493,0,1.052,0.448,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.047,0.026
11.42,0.500,0,1.052,0.448,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.031,0.029
11.62,0.497,0,1.052,0.448,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.010,0.010
11.82,0.486,0,1.014,0.439,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,0.006
12.02,0.483,0,1.014,0.439,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.016,0.001
12.22,0.471,0,0.772,0.410,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.015,0.004
12.42,0.462,0,0.772,0.410,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.017,0.019
