t,min_range,blocked,lidar_range,camera_range,agree,cmd_in_vx,cmd_in_vy,cmd_in_wz,cmd_out_vx,cmd_out_vy,cmd_out_wz,odom_x,odom_y
0.22,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.42,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.62,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.82,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.02,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.22,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.42,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.62,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.82,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02,0.370,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.22,0.369,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.42,0.368,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.62,0.371,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.82,0.472,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.02,0.373,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.22,0.370,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.008,-0.000
3.42,0.369,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,-0.001
3.62,0.369,0,0.486,0.597,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.004
3.82,0.367,0,0.486,0.597,1,0.000,0.000,0.000,0.000,0.000,0.000,0.004,-0.006
4.02,0.370,0,0.486,0.597,1,0.000,0.000,0.000,0.000,0.000,0.000,0.003,-0.001
4.22,0.370,0,0.486,0.598,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,0.002
4.42,0.370,0,0.486,0.598,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,-0.002
4.62,0.368,0,0.486,0.598,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.000
4.82,0.373,0,0.486,0.598,1,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.004
5.02,0.374,0,0.486,0.598,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.001
5.22,0.369,0,0.486,0.598,1,0.000,0.000,0.000,0.000,0.000,0.000,0.001,-0.004
5.42,0.373,0,0.486,0.598,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.001
5.62,0.370,0,0.485,0.598,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.002
5.82,0.369,0,0.485,0.598,1,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.003
6.02,0.368,0,0.485,0.598,1,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.001
6.22,0.373,0,0.485,0.598,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.003
6.42,0.373,0,0.485,0.598,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,0.004
6.62,0.368,0,0.486,0.598,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.002
6.82,0.368,0,0.486,0.598,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.001
7.02,0.396,0,0.485,0.597,1,0.000,0.000,0.000,0.000,0.000,0.000,0.004,-0.001
7.22,0.472,0,0.485,0.597,1,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.002
7.42,0.371,0,0.485,0.597,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.003
7.62,0.369,0,0.485,0.598,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.001
7.82,0.373,0,0.485,0.598,1,0.000,0.000,0.000,0.000,0.000,0.000,0.003,-0.000
8.02,0.472,0,0.486,0.598,1,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.003
8.22,0.371,0,0.486,0.598,1,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.001
