t,min_range,blocked,lidar_range,camera_range,agree,cmd_in_vx,cmd_in_vy,cmd_in_wz,cmd_out_vx,cmd_out_vy,cmd_out_wz,odom_x,odom_y
0.21,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.41,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.61,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.81,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.21,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.41,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.61,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.81,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.01,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.21,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.41,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.61,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.81,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.01,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.21,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.41,0.105,0,0.410,0.423,1,0.000,0.000,0.000,0.000,0.000,0.000,0.020,-0.018
3.61,0.315,0,0.410,0.423,1,0.000,0.000,0.000,0.000,0.000,0.000,0.012,-0.004
3.81,0.108,0,0.410,0.423,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,-0.011
4.01,0.310,0,0.409,0.423,1,0.000,0.000,0.000,0.000,0.000,0.000,0.012,-0.022
4.21,0.308,0,0.409,0.423,1,0.000,0.000,0.000,0.000,0.000,0.000,0.036,-0.025
4.41,0.108,0,0.410,0.423,1,0.000,0.000,0.000,0.000,0.000,0.000,0.020,-0.002
4.61,0.105,0,0.410,0.423,1,0.000,0.000,0.000,0.000,0.000,0.000,0.011,-0.012
4.81,0.108,0,0.410,0.423,1,0.000,0.000,0.000,0.000,0.000,0.000,0.019,-0.012
5.01,0.300,0,0.418,0.423,1,0.000,0.000,0.000,0.000,0.000,0.000,0.019,-0.007
5.21,0.105,0,0.418,0.423,1,0.000,0.000,0.000,0.000,0.000,0.000,0.025,-0.024
5.41,0.285,0,0.411,0.423,1,0.000,0.000,0.000,0.000,0.000,0.000,0.020,-0.019
5.61,0.106,0,0.411,0.423,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.011
5.81,0.288,0,0.411,0.423,1,0.000,0.000,0.000,0.000,0.000,0.000,0.014,-0.024
6.01,0.289,0,0.411,0.423,1,0.000,0.000,0.000,0.000,0.000,0.000,0.030,-0.020
6.21,0.295,0,0.411,0.423,1,0.000,0.000,0.000,0.000,0.000,0.000,0.024,-0.006
6.41,0.106,0,0.689,0.423,0,0.000,0.000,0.000,0.000,0.000,0.000,0.021,-0.027
6.61,0.287,0,0.689,0.423,0,0.000,0.000,0.000,0.000,0.000,0.000,0.029,-0.037
6.81,0.106,0,0.689,0.423,0,0.000,0.000,0.000,0.000,0.000,0.000,0.022,-0.027
7.01,0.285,0,0.411,0.423,1,0.000,0.000,0.000,0.000,0.000,0.000,0.028,-0.019
7.21,0.108,0,0.411,0.423,1,0.000,0.000,0.000,0.000,0.000,0.000,0.024,-0.008
7.41,0.281,0,0.411,0.423,1,0.000,0.000,0.000,0.000,0.000,0.000,0.023,-0.013
7.61,0.105,0,0.411,0.423,1,0.000,0.000,0.000,0.000,0.000,0.000,0.029,-0.032
7.81,0.108,0,0.411,0.423,1,0.000,0.000,0.000,0.000,0.000,0.000,0.027,-0.029
8.01,0.106,0,0.409,0.423,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.010
8.21,0.105,0,0.409,0.423,1,0.000,0.000,0.000,0.000,0.000,0.000,0.026,-0.020
8.41,0.108,0,0.410,0.423,1,0.000,0.000,0.000,0.000,0.000,0.000,0.023,-0.022
8.61,0.108,0,0.410,0.423,1,0.000,0.000,0.000,0.000,0.000,0.000,0.003,-0.029
8.81,0.108,0,0.410,0.423,1,0.000,0.000,0.000,0.000,0.000,0.000,0.008,-0.021
