t,min_range,blocked,lidar_range,camera_range,agree,cmd_in_vx,cmd_in_vy,cmd_in_wz,cmd_out_vx,cmd_out_vy,cmd_out_wz,odom_x,odom_y
0.23,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.43,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.63,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.83,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.03,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.23,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.43,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.63,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.83,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.23,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.002,-0.003
2.43,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.002,-0.003
2.63,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.002,-0.000
2.83,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000
3.03,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000
3.23,nan,0,0.726,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.002,-0.003
3.43,nan,0,0.726,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.003,-0.002
3.63,0.718,0,0.726,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.003
3.83,0.477,0,0.724,0.787,1,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.003
