t,min_range,blocked,lidar_range,camera_range,agree,cmd_in_vx,cmd_in_vy,cmd_in_wz,cmd_out_vx,cmd_out_vy,cmd_out_wz,odom_x,odom_y
0.21,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.41,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.61,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.81,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.21,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.41,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.61,nan,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.81,0.105,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.01,0.105,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.21,0.106,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.41,0.108,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.61,0.108,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.81,0.105,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.01,0.105,0,nan,nan,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.21,0.108,0,nan,0.409,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.41,0.108,0,nan,0.409,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.61,0.108,0,nan,0.409,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.81,0.106,0,0.384,0.409,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4.01,0.108,0,0.384,0.409,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4.21,0.108,0,0.385,0.409,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.002
4.41,0.106,0,0.385,0.409,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.002
4.61,0.106,0,0.385,0.409,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.000
4.81,0.105,0,0.387,0.409,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001
5.01,0.105,0,0.387,0.409,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001
5.21,0.106,0,0.385,0.409,1,0.000,0.000,0.000,0.000,0.000,0.000,0.002,-0.000
5.41,0.106,0,0.385,0.409,1,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.001
5.61,0.106,0,0.385,0.409,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,-0.003
5.81,0.105,0,0.383,0.409,1,0.000,0.000,0.000,0.000,0.000,0.000,0.001,-0.000
6.01,0.108,0,0.383,0.409,1,0.000,0.000,0.000,0.000,0.000,0.000,0.001,-0.000
6.21,0.107,0,0.383,0.409,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001
6.41,0.105,0,0.383,0.409,1,0.000,0.000,0.000,0.000,0.000,0.000,0.002,-0.000
6.61,0.105,0,0.383,0.409,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.001
6.81,0.105,0,0.386,0.409,1,0.000,0.000,0.000,0.000,0.000,0.000,0.006,-0.000
7.01,0.105,0,0.386,0.409,1,0.000,0.000,0.000,0.000,0.000,0.000,0.006,-0.000
7.21,0.105,0,0.381,0.413,1,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.012
7.41,0.105,0,0.381,0.413,1,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.011
7.61,0.105,0,0.381,0.413,1,0.000,0.000,0.000,0.000,0.000,0.000,0.014,0.014
7.81,0.366,0,0.377,0.421,1,0.000,0.000,0.000,0.000,0.000,0.000,0.014,0.014
8.01,0.366,0,0.377,0.421,1,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.014
8.21,0.105,0,0.377,0.422,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.005
8.41,0.367,0,0.377,0.422,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,-0.041
8.61,0.367,0,0.377,0.422,1,0.000,0.000,0.000,0.000,0.000,0.000,-0.018,-0.058
